Site,Type,Habitat,Year,Call vulg,Empe nigr,Eric cine,Eric tetr,Vacc myrt,Hede heli,Rubu frut,Dros rotu,Gali saxa,Hype pulc,Nart ossi,Poly serp,Pote erec,R. acetosa,R. acetose,Succ prat ,Trif repe,Vero offi,Viol palu,Viol rivi,Digi purp,Oxal acet,List cord,Cirs palu,Junc bulb,Junc cong,Junc effu,Junc squa,Luzu camo,Luzu mult,Care bine,Care echi,Care host,Care nigr,Care pilu,Care pcea,Care puli,Care viri,Eleo mult,Erio angu,Erio vagi,Tric cesp,Agro cani,Agro capi,Agro stol,Anth odor,Dant decu,Desc flex,Fest rubr,Fest ovin,Fest vivi,Moli caer,Nard stri,Holc lana,Blec spic,Dryo aem,Dryo affi,Dryo dila,Pter aqui,Athy f-f,Aula palu,Breu chry,Camp atro,Camp intr,Camp flex,Dicr scop,Hylo sple,Hypn cupr,Hypn jutl,Leuc glau,Plag undu,Pleu schr,Poly comm,Raco lanu,Rhyt lore,Rhyt squa,Scle puru,Spha capi,Spha cusp,Spha dent,Spha fall,Spha mage,Spha palu,Spha papi,Spha squa,Spha subn,Spha tene,Spha fimb,Spha quin,Spha inun,Spha girg,Thui tama,Kind prae,Mniu horn,Dicr maju,Rhyt triq,Caly muel,Caly fiss,Dipl albi,Odon spha,Pleu purp,Scap grac,Loph bide,Scap nemo,Clad coni,Clad port,Clad pyxi,Clad unci ,Clad foer,Poly juni,Lysi nemo,Lysi tene,Stel gram,Stel medi,Stel alsi,Frul tama,Pell epip,Poly form,Eurh stri,Epilobium sp.,Epil pedu,Care dist,Poly vulg,Ranu acri,Ranu repe,Hypo radi,Gali palu,Atri undu,Cera font,Hook luce,Rume obtu,Plagiom undu,Gera robe,Cyno cris,Euph sali,Tara offi,Chry oppo,Euph offi,Prun vulg,Plan lanc,Isot myos,Dicr hete,Hyme. Sp,Poly pili,Sagi proc,Pell nees,Care lepo,Epil hirs,Loes brev,Pseu eleg,Aira cary,Litter,BareSoil,BareRock,SurfaceWater
WD4PeatT1,Treatment,Conifer_Peat,2022,0,0,0,0,0,0.099403579,0.994035785,0,0.994035785,0,0,0,2.982107356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099403579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.85089463,0,0,0.994035785,0.099403579,0,0.994035785,0,0,0,0,0,0,0,0.994035785,4.970178926,0,2.982107356,0,0.099403579,2.982107356,0.994035785,0,9.940357853,0.099403579,0.994035785,9.940357853,0,0,4.970178926,0,0,0,0,2.982107356,0,0,0,0,0,14.91053678,0,0,0,0,0,0,0.994035785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099403579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.940357853,0,0,0
WD4PeatC1,Control,Conifer_Peat,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.82107356,0,0,0.994035785,0.994035785,0,0,0,0,0,0,0,0.099403579,0,0,6.958250497,0,6.958250497,0,0.099403579,0,0.099403579,0,6.958250497,0,0.994035785,4.970178926,0,0,2.982107356,0,4.970178926,0,0,2.982107356,0,0,0,0,0,19.88071571,0,0,0,0.099403579,0,0,0,0,0,0.099403579,0,0,0.099403579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.940357853,0,0,0
WD4PeatT2,Treatment,Conifer_Peat,2022,2.982107356,0,0,0.994035785,0,0,0,0,0.099403579,0,0,0,2.982107356,0,0,0,0,0,0,0,0,2.982107356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099403579,0,0,0,0,0,0,0,0,29.82107356,0,0,0.099403579,0,0,0,0,0,0.994035785,2.982107356,0,0,0,0.994035785,6.958250497,0,0,0,0.994035785,2.982107356,0,0,4.970178926,0,0.099403579,0,0.099403579,0,4.970178926,0,0,0,0,0.994035785,0,0,4.970178926,0,0,14.91053678,0,0,0,0.994035785,0,0,0.994035785,0,0,0,0,0.994035785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099403579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.940357853,0,0,0
WD4PeatC2,Control,Conifer_Peat,2022,0,0,0,0,0,0,4.930966469,0,0,0,0,0,0.098619329,0,0,0,0,0,0,0,0,6.903353057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986193294,0,0,0,0,0,0,24.65483235,0,0,0,0.098619329,0,2.958579882,0,0.098619329,0,0,0,0,0,0.098619329,4.930966469,0.986193294,0,0,0.986193294,0,4.930966469,0,6.903353057,0,0,2.958579882,0,0,6.903353057,0,0,0,0,4.930966469,0,0,0,0,2.958579882,9.861932939,0,0,0,0,0,0,0,0,0,0,0,2.958579882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.861932939,0,0,0
WD4PeatT3,Treatment,Conifer_Peat,2022,0,0,0,0.099502488,0,0,0.099502488,0,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.985074627,0,0,0,0,0,0,0,0,0,24.87562189,0,0,0.099502488,0,0,0,0,0,0,0.995024876,0,0,0,0,2.985074627,0,0,0,0.099502488,2.985074627,0.995024876,0,2.985074627,0,0,14.92537313,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90049751,0,0,0,0,0.099502488,0,0,0,0,9.950248756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.92537313,0,0,0
WD4PeatC3,Control,Conifer_Peat,2022,0.099304866,0,0,0.099304866,0,0,0,0,0.993048659,0,0,0,0.993048659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86097319,0,0,0.099304866,0,0,0.099304866,0,0,0,0,0,0,0,0.099304866,4.965243297,0,0.993048659,0.099304866,0.099304866,9.930486594,2.979145978,0,14.89572989,0,2.979145978,9.930486594,0,0,9.930486594,0,0.993048659,0,0,2.979145978,0,0,0,0,0,9.930486594,0,0,0,0,0,0,0.993048659,0,0,0,0,0.993048659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.965243297,0,0,0
WD4PeatT4,Treatment,Conifer_Peat,2022,0,0,0,0,0,0,0,0,0.999000999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97002997,0,0,0,0,0,0.999000999,0,0,0,0,0,0,0,0.0999001,4.995004995,0,0.999000999,0,2.997002997,6.993006993,0.999000999,0,9.99000999,0,0.999000999,9.99000999,0,0,6.993006993,0,4.995004995,0,0,0,0,0,0,0,0,9.99000999,0,0,0,0,0,0,0,0,0,0,0,2.997002997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995004995,0,0,0
WD4PeatC4,Control,Conifer_Peat,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97002997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99000999,0,0,0,0.999000999,6.993006993,0.999000999,0,14.98501499,0,0,14.98501499,0,0,0,0,0,0,0,0,0,0,0,0,0,14.98501499,0,0,0,0,0,0,0.999000999,0,0,0,0,0,0,0.0999001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995004995,0,0,0
WD1T1,Treatment,Broadleaf,2022,0,0,0,0,0,0,0.997008973,0,4.985044865,0,0,0,0,2.991026919,0,0,0,0,0,0,4.985044865,2.991026919,0,0.997008973,0,0,2.991026919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.970089731,2.991026919,0,2.991026919,0,0,0,0,0,0,0,6.979062812,0.997008973,0.099700897,0,0.997008973,0,0.099700897,0,0,0,0,0,0,0,0,0,0,0,0,2.991026919,0,0,0,0.997008973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.979062812,0.997008973,2.991026919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997008973,0,0.997008973,0,0,0,0.099700897,0,0,0,0,0,0,0,14.9551346,0,0,0.997008973,0,0,0,0,0,0,0,0,14.9551346,0,0,0,0,0,0,0,0,0,0,2.991026919,0,0,0,2.991026919,0,0,0
WD1C1,Control,Broadleaf,2022,0,0,0,0,0,0,0.099304866,0,0.993048659,0,0,0,0.993048659,2.979145978,0,0,0,0,0,0,6.951340616,2.979145978,0,0.099304866,0,0,6.951340616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86097319,0,0,0,0,0,0,0,0,0,9.930486594,0.099304866,0,0,0.099304866,0,0.993048659,0,0,0,0,0,0,0.099304866,0,0,0,0,0,0,0,0,0.993048659,0.099304866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.979145978,2.979145978,0,0,0,0,0,0,0,0,0,0.993048659,0,0,0,0,0,0,0,0.099304866,0,0,0.993048659,0,0,0.993048659,4.965243297,0,0,0,0,0,0,9.930486594,0,0,4.965243297,0.993048659,0,0,0.993048659,0,0,0,0,4.965243297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.930486594,0,0,0
WD1T2,Treatment,Broadleaf,2022,0,0,0.099304866,0,0,0,2.979145978,0,0.993048659,0,0,0,0.993048659,2.979145978,0,0,0,0,0,0,2.979145978,0,0,0,0,0,0.099304866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89572989,0,0,0,0,0,0,0,2.979145978,0,9.930486594,0,0.993048659,0,2.979145978,0,0,0,0,0,0,0.993048659,0,0.993048659,0,0.099304866,0,4.965243297,0,9.930486594,0,4.965243297,0.993048659,0.993048659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.930486594,6.951340616,0,0,0.099304866,0,0,0,0,0,0,0.099304866,0,0,0,0,0,0,0,0.099304866,0,0,0,0.099304866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993048659,0,0,14.89572989,0,0,0
WD1C2,Control,Broadleaf,2022,0,0,0,0,0,0,2.985074627,0,0,0,0,0,0,2.985074627,0,0,0,0,0,0,2.985074627,0.995024876,0,0.099502488,0.099502488,0,2.985074627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.92537313,0,0,0,0,0,0,0,0,0,9.950248756,2.985074627,0,0.995024876,0.995024876,0,0.995024876,0,0,0,0,0,0,0,0,0.995024876,0,0.995024876,0,9.950248756,0,2.985074627,0.995024876,0,0.099502488,0,0,0,0,0,0,0,0,0,0,0,0,0,6.965174129,6.965174129,0,0,0,0,0,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0,0,0,0,0,0,2.985074627,0,0,0,0,0,0,0,4.975124378,0,0,0.099502488,0,0,0,0,0,0,0,0,6.965174129,0,0,0,0,0,0,0,0,0,0,0,0,0.099502488,0,9.950248756,0,0,0
