Site,Ground_before_cm,Ground_after_cm,Bryo_before_cm,Bryo_after_cm,Type,Habitat,Month_before,Month_after
WD4PeatT1,28.4,33.4,12.2,8.4,Treatment,Conifer_Peat,October,August
WD4PeatC1,25.4,42.2,9.6,7.4,Control,Conifer_Peat,April,August
WD4PeatT2,28,47.8,9.6,7,Treatment,Conifer_Peat,October,August
WD4PeatC2,27.8,36.2,17.8,11.6,Control,Conifer_Peat,October,August
WD4PeatT3,14,32.4,5.2,5.4,Treatment,Conifer_Peat,April,August
WD4PeatC3,15,29.4,8.6,3.8,Control,Conifer_Peat,October,August
WD4PeatT4,15.6,52.8,7.2,7.8,Treatment,Conifer_Peat,October,September
WD4PeatC4,16.6,39.4,7,8.4,Control,Conifer_Peat,October,September
WD1T1,3.6,21.2,2.6,4.2,Treatment,Broadleaf,July,August
WD1C1,4.2,27.8,3,3,Control,Broadleaf,October,August
WD1T2,6.8,23,4.2,5.6,Treatment,Broadleaf,September,August
WD1C2,6.8,17.4,4.4,3.6,Control,Broadleaf,September,August
WD1T3,9.6,26.4,7.2,5.6,Treatment,Broadleaf,October,August
WD1C3,7.8,11.8,4.2,4.2,Control,Broadleaf,October,August
WD1T4,9.6,23,5.6,5.6,Treatment,Broadleaf,October,August
WD1C4,8,11,4.6,5,Control,Broadleaf,October,August
WD4MinT1,13.6,34.4,4.4,5.6,Treatment,Conifer_Mineral,October,September
WD4MinC1,7,16,5.3,3.2,Control,Conifer_Mineral,July,August
WD4MinT2,17,22,6.2,7.8,Treatment,Conifer_Mineral,October,August
WD4MinC2,7.6,18,6,4.8,Control,Conifer_Mineral,July,August
WD4MinT3,19.2,25,7.8,11.8,Treatment,Conifer_Mineral,July,September
WD4MinC3,8.4,18,5.6,4,Control,Conifer_Mineral,October,September
WD4MinT4,25,38.8,7.4,10,Treatment,Conifer_Mineral,October,August
WD4MinC4,9.6,24.8,5,8.2,Control,Conifer_Mineral,April,August
HH1T1,35,40,7,6.2,Treatment,Dry_Heath,September,August
HH1C1,35,32.4,5,6.8,Control,Dry_Heath,September,August
HH1T2,50,42.4,10,9.4,Treatment,Dry_Heath,September,August
HH1C2,40,33.4,10,4.6,Control,Dry_Heath,May,August
HH1T3,35.4,39.4,7.2,10.4,Treatment,Dry_Heath,September,August
HH1C3,50,35.8,7,9.2,Control,Dry_Heath,September,August
HH1T4,39,44.8,8,8.4,Treatment,Dry_Heath,September,August
HH1C4,30,40.8,10,6.6,Control,Dry_Heath,May,August
GS3T1,9.4,20.6,4.2,9.2,Treatment,Dry_Grassland,September,September
GS3C1,7.8,10.4,2.2,3,Control,Dry_Grassland,June,September
GS3T2,14.6,34.4,5.6,10.8,Treatment,Dry_Grassland,September,September
GS3C2,9.6,17.6,3.4,2.4,Control,Dry_Grassland,September,September
GS3T3,22.8,32.2,8,11.6,Treatment,Dry_Grassland,July,September
GS3C3,9.6,13.8,3.4,2.8,Control,Dry_Grassland,September,September
GS3T4,17.6,30.2,3.4,4.4,Treatment,Dry_Grassland,July,September
GS3C4,14.8,17.4,6.2,5.6,Control,Dry_Grassland,September,September
